# SSSOM TSV for asago-scenario-generator abstract attack patterns (Phase 3: T8/T9/T10/T14/T16)
# Provenance mappings: OWASP origin, LAAF technique, and MITRE ATLAS correspondences
# curie_map:
#   asago-scenario-generator: https://github.com/asago-ai/asago-scenario-generator/
#   laaf: https://github.com/laaf-ai/laaf/
#   mitre-atlas: https://atlas.mitre.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
AP-T8-01	asago-scenario-generator	skos:relatedMatch	S6	laaf	semapv:ManualMappingCuration
AP-T8-01	asago-scenario-generator	skos:relatedMatch	T5	laaf	semapv:ManualMappingCuration
AP-T8-01	asago-scenario-generator	skos:relatedMatch	AML.T0092	mitre-atlas	semapv:ManualMappingCuration
AP-T8-01	asago-scenario-generator	skos:relatedMatch	AML.T0081	mitre-atlas	semapv:ManualMappingCuration
AP-T8-02	asago-scenario-generator	skos:relatedMatch	T1	laaf	semapv:ManualMappingCuration
AP-T8-02	asago-scenario-generator	skos:relatedMatch	S2	laaf	semapv:ManualMappingCuration
AP-T8-02	asago-scenario-generator	skos:relatedMatch	AML.T0068	mitre-atlas	semapv:ManualMappingCuration
AP-T8-02	asago-scenario-generator	skos:relatedMatch	AML.T0092	mitre-atlas	semapv:ManualMappingCuration
AP-T8-03	asago-scenario-generator	skos:relatedMatch	S6	laaf	semapv:ManualMappingCuration
AP-T8-03	asago-scenario-generator	skos:relatedMatch	M7	laaf	semapv:ManualMappingCuration
AP-T8-03	asago-scenario-generator	skos:relatedMatch	AML.T0092	mitre-atlas	semapv:ManualMappingCuration
AP-T8-03	asago-scenario-generator	skos:relatedMatch	AML.T0081	mitre-atlas	semapv:ManualMappingCuration
AP-T9-01	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T9-01	asago-scenario-generator	skos:relatedMatch	M1	laaf	semapv:ManualMappingCuration
AP-T9-01	asago-scenario-generator	skos:relatedMatch	AML.T0073	mitre-atlas	semapv:ManualMappingCuration
AP-T9-01	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T9-02	asago-scenario-generator	skos:relatedMatch	M1	laaf	semapv:ManualMappingCuration
AP-T9-02	asago-scenario-generator	skos:relatedMatch	S6	laaf	semapv:ManualMappingCuration
AP-T9-02	asago-scenario-generator	skos:relatedMatch	AML.T0016	mitre-atlas	semapv:ManualMappingCuration
AP-T9-02	asago-scenario-generator	skos:relatedMatch	AML.T0021	mitre-atlas	semapv:ManualMappingCuration
AP-T9-03	asago-scenario-generator	skos:relatedMatch	M1	laaf	semapv:ManualMappingCuration
AP-T9-03	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T9-03	asago-scenario-generator	skos:relatedMatch	AML.T0021	mitre-atlas	semapv:ManualMappingCuration
AP-T9-03	asago-scenario-generator	skos:relatedMatch	AML.T0016	mitre-atlas	semapv:ManualMappingCuration
AP-T9-04	asago-scenario-generator	skos:relatedMatch	L5	laaf	semapv:ManualMappingCuration
AP-T9-04	asago-scenario-generator	skos:relatedMatch	S6	laaf	semapv:ManualMappingCuration
AP-T9-04	asago-scenario-generator	skos:relatedMatch	AML.T0024	mitre-atlas	semapv:ManualMappingCuration
AP-T9-04	asago-scenario-generator	skos:relatedMatch	AML.T0021	mitre-atlas	semapv:ManualMappingCuration
AP-T9-05	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T9-05	asago-scenario-generator	skos:relatedMatch	EX1	laaf	semapv:ManualMappingCuration
AP-T9-05	asago-scenario-generator	skos:relatedMatch	AML.T0073	mitre-atlas	semapv:ManualMappingCuration
AP-T9-05	asago-scenario-generator	skos:relatedMatch	AML.T0012	mitre-atlas	semapv:ManualMappingCuration
AP-T9-06	asago-scenario-generator	skos:relatedMatch	T2	laaf	semapv:ManualMappingCuration
AP-T9-06	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T9-06	asago-scenario-generator	skos:relatedMatch	AML.T0016	mitre-atlas	semapv:ManualMappingCuration
AP-T9-06	asago-scenario-generator	skos:relatedMatch	AML.T0024	mitre-atlas	semapv:ManualMappingCuration
AP-T10-01	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T10-01	asago-scenario-generator	skos:relatedMatch	S3	laaf	semapv:ManualMappingCuration
AP-T10-01	asago-scenario-generator	skos:relatedMatch	AML.T0060	mitre-atlas	semapv:ManualMappingCuration
AP-T10-01	asago-scenario-generator	skos:relatedMatch	AML.T0067	mitre-atlas	semapv:ManualMappingCuration
AP-T10-02	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T10-02	asago-scenario-generator	skos:relatedMatch	T3	laaf	semapv:ManualMappingCuration
AP-T10-02	asago-scenario-generator	skos:relatedMatch	AML.T0029	mitre-atlas	semapv:ManualMappingCuration
AP-T10-02	asago-scenario-generator	skos:relatedMatch	AML.T0046	mitre-atlas	semapv:ManualMappingCuration
AP-T10-03	asago-scenario-generator	skos:relatedMatch	T5	laaf	semapv:ManualMappingCuration
AP-T10-03	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T10-03	asago-scenario-generator	skos:relatedMatch	AML.T0046	mitre-atlas	semapv:ManualMappingCuration
AP-T10-03	asago-scenario-generator	skos:relatedMatch	AML.T0029	mitre-atlas	semapv:ManualMappingCuration
AP-T14-01	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T14-01	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T14-01	asago-scenario-generator	skos:relatedMatch	AML.T0073	mitre-atlas	semapv:ManualMappingCuration
AP-T14-01	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T14-02	asago-scenario-generator	skos:relatedMatch	L4	laaf	semapv:ManualMappingCuration
AP-T14-02	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T14-02	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T14-02	asago-scenario-generator	skos:relatedMatch	AML.T0029	mitre-atlas	semapv:ManualMappingCuration
AP-T14-03	asago-scenario-generator	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T14-03	asago-scenario-generator	skos:relatedMatch	T3	laaf	semapv:ManualMappingCuration
AP-T14-03	asago-scenario-generator	skos:relatedMatch	AML.T0029	mitre-atlas	semapv:ManualMappingCuration
AP-T14-03	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T14-04	asago-scenario-generator	skos:relatedMatch	S6	laaf	semapv:ManualMappingCuration
AP-T14-04	asago-scenario-generator	skos:relatedMatch	L3	laaf	semapv:ManualMappingCuration
AP-T14-04	asago-scenario-generator	skos:relatedMatch	AML.T0073	mitre-atlas	semapv:ManualMappingCuration
AP-T14-04	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T16-01	asago-scenario-generator	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T16-01	asago-scenario-generator	skos:relatedMatch	M3	laaf	semapv:ManualMappingCuration
AP-T16-01	asago-scenario-generator	skos:relatedMatch	AML.T0051.001	mitre-atlas	semapv:ManualMappingCuration
AP-T16-01	asago-scenario-generator	skos:relatedMatch	AML.T0073	mitre-atlas	semapv:ManualMappingCuration
AP-T16-02	asago-scenario-generator	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T16-02	asago-scenario-generator	skos:relatedMatch	L4	laaf	semapv:ManualMappingCuration
