# SSSOM TSV for asago-scenario-generator abstract attack patterns (Batch C: T12/T15/T17)
# Provenance mappings: OWASP origin, LAAF technique, and MITRE ATLAS correspondences
# curie_map:
#   asago-scenario-generator: https://github.com/asago-ai/asago-scenario-generator/
#   laaf: https://github.com/laaf-ai/laaf/
#   mitre-atlas: https://atlas.mitre.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
AP-T12-01	asago-scenario-generator	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T12-01	asago-scenario-generator	skos:relatedMatch	L4	laaf	semapv:ManualMappingCuration
AP-T12-01	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-01	asago-scenario-generator	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T12-02	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T12-02	asago-scenario-generator	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T12-02	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-02	asago-scenario-generator	skos:relatedMatch	AML.T0066	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	asago-scenario-generator	skos:relatedMatch	S3	laaf	semapv:ManualMappingCuration
AP-T12-03	asago-scenario-generator	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T12-03	asago-scenario-generator	skos:relatedMatch	AML.T0020	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	asago-scenario-generator	skos:relatedMatch	AML.T0070	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	asago-scenario-generator	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T12-04	asago-scenario-generator	skos:relatedMatch	L5	laaf	semapv:ManualMappingCuration
AP-T12-04	asago-scenario-generator	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T12-04	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-04	asago-scenario-generator	skos:relatedMatch	AML.T0029	mitre-atlas	semapv:ManualMappingCuration
AP-T12-05	asago-scenario-generator	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T12-05	asago-scenario-generator	skos:relatedMatch	T3	laaf	semapv:ManualMappingCuration
AP-T12-05	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-05	asago-scenario-generator	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T15-01	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T15-01	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T15-01	asago-scenario-generator	skos:relatedMatch	AML.T0051.001	mitre-atlas	semapv:ManualMappingCuration
AP-T15-01	asago-scenario-generator	skos:relatedMatch	AML.T0067	mitre-atlas	semapv:ManualMappingCuration
AP-T15-02	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T15-02	asago-scenario-generator	skos:relatedMatch	EX1	laaf	semapv:ManualMappingCuration
AP-T15-02	asago-scenario-generator	skos:relatedMatch	AML.T0051.001	mitre-atlas	semapv:ManualMappingCuration
AP-T17-01	asago-scenario-generator	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T17-01	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T17-01	asago-scenario-generator	skos:relatedMatch	AML.T0010	mitre-atlas	semapv:ManualMappingCuration
AP-T17-01	asago-scenario-generator	skos:relatedMatch	AML.T0048	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	asago-scenario-generator	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T17-02	asago-scenario-generator	skos:relatedMatch	T1	laaf	semapv:ManualMappingCuration
AP-T17-02	asago-scenario-generator	skos:relatedMatch	AML.T0010	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	asago-scenario-generator	skos:relatedMatch	AML.T0048	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
