# SSSOM TSV for asago-scenario-generator abstract attack patterns (Batch B: T5/T6/T11/T13)
# Provenance mappings: OWASP origin, LAAF technique, and MITRE ATLAS correspondences
# curie_map:
#   asago-scenario-generator: https://github.com/asago-ai/asago-scenario-generator/
#   laaf: https://github.com/laaf-ai/laaf/
#   mitre-atlas: https://atlas.mitre.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
AP-T5-01	asago-scenario-generator	skos:relatedMatch	S3	laaf	semapv:ManualMappingCuration
AP-T5-01	asago-scenario-generator	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T5-01	asago-scenario-generator	skos:relatedMatch	AML.T0060	mitre-atlas	semapv:ManualMappingCuration
AP-T5-01	asago-scenario-generator	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T5-02	asago-scenario-generator	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T5-02	asago-scenario-generator	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T5-02	asago-scenario-generator	skos:relatedMatch	AML.T0060	mitre-atlas	semapv:ManualMappingCuration
AP-T5-02	asago-scenario-generator	skos:relatedMatch	AML.T0053	mitre-atlas	semapv:ManualMappingCuration
AP-T5-03	asago-scenario-generator	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T5-03	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T5-03	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T5-03	asago-scenario-generator	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T5-04	asago-scenario-generator	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T5-04	asago-scenario-generator	skos:relatedMatch	T5	laaf	semapv:ManualMappingCuration
AP-T5-04	asago-scenario-generator	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T5-04	asago-scenario-generator	skos:relatedMatch	AML.T0070	mitre-atlas	semapv:ManualMappingCuration
AP-T6-01	asago-scenario-generator	skos:relatedMatch	L2	laaf	semapv:ManualMappingCuration
AP-T6-01	asago-scenario-generator	skos:relatedMatch	M3	laaf	semapv:ManualMappingCuration
AP-T6-01	asago-scenario-generator	skos:relatedMatch	AML.T0051.000	mitre-atlas	semapv:ManualMappingCuration
AP-T6-01	asago-scenario-generator	skos:relatedMatch	AML.T0054	mitre-atlas	semapv:ManualMappingCuration
AP-T6-02	asago-scenario-generator	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T6-02	asago-scenario-generator	skos:relatedMatch	M3	laaf	semapv:ManualMappingCuration
AP-T6-02	asago-scenario-generator	skos:relatedMatch	AML.T0051.000	mitre-atlas	semapv:ManualMappingCuration
