# SSSOM TSV for asago-scenario-generator abstract attack patterns (AP-T7-*)
# Provenance mappings: OWASP origin, LAAF technique, and MITRE ATLAS correspondences
# curie_map:
#   asago-scenario-generator: https://github.com/asago-ai/asago-scenario-generator/
#   laaf: https://github.com/laaf-ai/laaf/
#   mitre-atlas: https://atlas.mitre.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
AP-T7-01	asago-scenario-generator	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T7-01	asago-scenario-generator	skos:relatedMatch	M3	laaf	semapv:ManualMappingCuration
AP-T7-02	asago-scenario-generator	skos:relatedMatch	M1	laaf	semapv:ManualMappingCuration
AP-T7-02	asago-scenario-generator	skos:relatedMatch	T1	laaf	semapv:ManualMappingCuration
AP-T7-03	asago-scenario-generator	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T7-03	asago-scenario-generator	skos:relatedMatch	S3	laaf	semapv:ManualMappingCuration
AP-T7-04	asago-scenario-generator	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T7-04	asago-scenario-generator	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T7-05	asago-scenario-generator	skos:relatedMatch	M4	laaf	semapv:ManualMappingCuration
AP-T7-05	asago-scenario-generator	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
